學校簡稱,學校電話,學校網址,學校郵遞區號
秀峰高中,(02)26412134,http://www.sfhs.ntpc.edu.tw/,221
明德高中,(02)26723302,http://www.mdhs.ntpc.edu.tw/,237
東海高中,(02)29822788,http://www.thhs.ntpc.edu.tw/,241
林口高中,(02)26009482,http://www.lksh.ntpc.edu.tw/,244
板橋高中,(02)29602500,http://pcsh.ntpc.edu.tw/,220
金山高中,(02)24982028,http://www.cshs.ntpc.edu.tw/,208
金陵女中,(02)29956776,http://www.glghs.ntpc.edu.tw/,241
南山高中,(02)22453000,http://www.nssh.ntpc.edu.tw/,235
南強工商,(02)29155144,http://www.ncvs.ntpc.edu.tw,231
恆毅中學,(02)29923619,http://www.hchs.ntpc.edu.tw/,242
徐匯高中,(02)22817565,http://www.sish.ntpc.edu.tw/,247
時雨高中,(02)24962217,http://www.syjh.ntpc.edu.tw/,224
格致高中,(02)29883488,http://www.gjsh.ntpc.edu.tw/,241
泰山高中,(02)22963625,http://www.tssh.ntpc.edu.tw/,243
海山高中,(02)29517475,http://www.hshs.ntpc.edu.tw/,220
能仁家商,(02)29182399,http://www.nrvs.ntpc.edu.tw,231
崇光女中,(02)29112544,http://www.ckgsh.ntpc.edu.tw,231
崇義高中,(02)86482078,http://www.tysh.ntpc.edu.tw/,221
康橋高中,(02)22166000,http://www.kcbs.ntpc.edu.tw/,231
淡水商工,(02)26203930,http://www.tsvs.ntpc.edu.tw,251
淡江高中,(02)26203850,http://www.tksh.ntpc.edu.tw/,251
清水高中,(02)22707801,http://www.cssh.ntpc.edu.tw/,236
清傳高商,(02)29955535,http://www.ccvs.ntpc.edu.tw,241
莊敬高職,(02)22188956,http://www.jjvs.ntpc.edu.tw,231
復興商工,(02)29262121,http://www.fhvs.ntpc.edu.tw,234
智光商工,(02)29432491,http://www.ckvs.ntpc.edu.tw,234
華僑高中,(02)29684131,http://www.nocsh.ntpc.edu.tw,220
開明工商,(02)29136061,http://www.kmvs.tpc.edu.tw,231
新北特教,(02)26006768,http://www.lkm.ntpc.edu.tw/,244
新北高工,(02)22612483,http://www.ntvs.ntpc.edu.tw/bin/home.php,236
新北高中,(02)28577326,http://www.ntsh.ntpc.edu.tw/,241
新店高中,(02)22193700,http://www.htsh.ntpc.edu.tw/,231
新莊高中,(02)29912391,http://www.hcsh.ntpc.edu.tw/,242
瑞芳高工,(02)24972516,http://www.jfvs.ntpc.edu.tw,224
聖心女中,(02)26184005,http://www.shgsh.ntpc.edu.tw/,249
裕德中學,(02)82617889,http://www.yuteh.ntpc.edu.tw/,236
穀保家商,(02)29712343,http://www.kpvs.ntpc.edu.tw,241
樹人家商,(02)26870391,http://www.stgvs.ntpc.edu.tw,238
樹林高中,(02)86852011,http://www.slsh.ntpc.edu.tw/,238
豫章工商,(02)29519810,http://www.ycvs.ntpc.edu.tw,220
醒吾高中,(02)26012644,http://www.swsh.ntpc.edu.tw/bin/home.php,244
錦和高中,(02)22498566,http://www.jhjh.ntpc.edu.tw/,235
雙溪高中,(02)24931028,http://www.sxhs.ntpc.edu.tw/,227
辭修高中,(02)86761277,http://www.tsshs.ntpc.edu.tw/,237
鶯歌工商,(02)26775040,http://www.ykvs.ntpc.edu.tw,239
世界高中,(03)5783271,http://www.wvs.hc.edu.tw/,300
光復高中,(03)5753534,http://www.kfsh.hc.edu.tw/,300
成德高中,(03)5258748,http://www.cdjh.hc.edu.tw/,3008
建功高中,(03)5745892,http://www.ckjh.hc.edu.tw/,300
科學工業園區實驗高中,(03)5777011,http://www.nehs.hc.edu.tw/,300
香山高中,(03)5384332,http://www.hhjh.hc.edu.tw/,3009
新竹女中,(03)5456611,http://www.hgsh.hc.edu.tw/,300
新竹高工,(03)5322175,http://www.hcvs.hc.edu.tw,300
新竹高中,(03)5736666,http://www.hchs.hc.edu.tw/bin/home.php,300
新竹高商,(03)5722150,http://www.hccvs.hc.edu.tw,300
磐石高中,(03)5223946,http://www.sphs.hc.edu.tw/,3008
曙光女中,(03)5325709,http://www.sggs.hc.edu.tw/,300
內思高工,(03)5882520,http://163.19.9.241/ischool/publish_page/0/,305
六家高中,(03)5503824,http://www.ljjh.hcc.edu.tw/bin/home.php,302
仰德高中,(03)5592158,http://www.ydvs.hcc.edu.tw/,304
竹北高中,(03)5517330,http://www.cpshs.hcc.edu.tw/,302
竹東高中,(03)5962024,http://www.ctsh.hcc.edu.tw/,310
忠信高中,(03)5595775,http://www.chhs.hcc.edu.tw/,304
東泰高中,(03)5961232,http://www.ttsh.hcc.edu.tw/,310
湖口高中,(03)5690772,http://www.hkhs.hcc.edu.tw/,303
新竹特殊教育學校,(03)6676639,http://www.nhs.hcc.edu.tw/,302
義民高中,(03)5552020,http://www.ymsh.hcc.edu.tw/,302
關西高中,(03)5872049,http://www.khvs.hcc.edu.tw/,306
仁義高中,(05)2765555,http://www.zysh.cy.edu.tw/,600
立仁高中,(05)2226420,http://www.ligvs.cy.edu.tw,600
宏仁女中,(05)2322802,http://www.hjgs.cy.edu.tw/,600
東吳工家,(05)2246161,http://www.dwvs.cy.edu.tw,600
國立嘉義高商,(05)2782421,http://www.cyvs.cy.edu.tw,600
華南高商,(05)2787140,http://www.hnvs.cy.edu.tw,600
嘉華高中,(05)2761716,http://www.chsh.cy.edu.tw/,600
嘉義女中,(05)2254603,http://www.cygsh.cy.edu.tw/,601
嘉義家職,(05)2259640,http://www.cyhvs.cy.edu.tw,600
嘉義特教學校,(05)2858549,http://www.cymrs.cy.edu.tw,600
嘉義高工,(05)2763060,http://www.cyivs.cy.edu.tw,600
嘉義高中,(05)2762804,http://www.cysh.cy.edu.tw/,600
輔仁高中,(05)2281001,http://www.fjsh.cy.edu.tw/,600
興華高中,(05)2764318,http://www.hhsh.cy.edu.tw/,600
弘德工商,(05)369-1473,http://www.cdvs.cyc.edu.tw,613
民雄農工,(05)2267120,http://www.mhvs.cyc.edu.tw,621
永慶高中,(05)3627226,http://www.ycsh.cyc.edu.tw/,612
同濟高中,(05)2652248,http://www.tjsh.cyc.edu.tw/,622
竹崎高中,(05)2611006,http://www.ccjh.cyc.edu.tw,604
協同高中,(05)2213045,http://www.cmsh.cyc.edu.tw/,621
協志工商,(05)2264264,http://www.ccivs.cyc.edu.tw/,621
東石高中,(05)3794180,http://www.tssh.cyc.edu.tw/,613
新港藝術高中,(05)3747060,http://,616
萬能工商,(05)2687777,http://www.wnvs.cyc.edu.tw,608
二林高中,(04)8960121,http://www.elsh.chc.edu.tw/,526
大慶商工,(04)8311005,http://www.dcvs.chc.edu.tw,510
文興高中,(04)8753889,http://web1.hshs.chc.edu.tw/bin/home.php,520
北斗家商,(04)8882224,http://www.pthc.chc.edu.tw,521
正德高中,(04)7524109,http://www.zdvs.chc.edu.tw/,500
永靖高工,(04)8221810,http://www.yjvs.chc.edu.tw,512
田中高中,(04)8745820,http://163.23.85.193/ischool/publish_page/0/,520
成功高中,(04)8828588,http://www.ckjh.chc.edu.tw/bin/home.php,514
和美高中,(04)7552043,http://www.hmjh.chc.edu.tw,508
和美實驗學校,(04)7552009,http:// www.nhes.edu.tw,508
員林家商,(04)8320260,http://163.23.169.3/,510
員林高中,(04)8320364,http://www.ylsh.chc.edu.tw/,510
員林農工,(04)8360105,http://www.ylvs.chc.edu.tw,510
國立二林工商,(04)8962132,http://www.elvs.chc.edu.tw,526
國立秀水高工,(04)7697021,http://,504
崇實高工,(04)8347106,http://www.csvs.chc.edu.tw,510
鹿港高中,(04)7772403,http://www.lksh.chc.edu.tw/,505
溪湖高中,(04)8826436,http://www.hhsh.chc.edu.tw/,514
達德商工,(04)8753929,http://www.tdvs.chc.edu.tw,520
彰化女中,(04)7240042,http://www.chgsh.chc.edu.tw/,500
彰化特殊教育學校,(04)8727303,http://www.chsmr.chc.edu.tw/,511
彰化高中,(04)7222121,http://www.chsh.chc.edu.tw/,500
彰化高商,(04)7262963;(04)7262623,http://w2.chsc.tw,500
彰化藝術高中,(04)7222844;(04)72222844,http://163.23.68.78,500
彰師大附工,(04)7252541,http://www.sivs.chc.edu.tw/bin/home.php,500
精誠高中,(04)7622790,http://www.cchs.chc.edu.tw/,500
馬公高中,(06)9270522,http://www.mksh.phc.edu.tw/,880
澎湖海事,(06)9261101,http://www.phmhs.phc.edu.tw,880
